Airline,Notes,icao
Allegiant Air,,KALB
Allegiant Air,,KABQ
Allegiant Air,,KABE
Allegiant Air,,PANC
Allegiant Air,,KATW
Allegiant Air,,KAVL
Allegiant Air,,KAUS
Allegiant Air,,KBWI
Allegiant Air,,KBGR
Allegiant Air,,KBLV
Allegiant Air,,KBLI
Allegiant Air,,KBIL
Allegiant Air,,KBIS
Allegiant Air,,KBMI
Allegiant Air,,KBOI
Allegiant Air,,KBOS
Allegiant Air,,KBZN
Allegiant Air,,KTRI
Allegiant Air,,KCID
Allegiant Air,,KCHS
Allegiant Air,,KJQF
Allegiant Air,,KCHA
Allegiant Air,,KMDW
Allegiant Air,,KRFD
Allegiant Air,,KCVG
Allegiant Air,,KCKB
Allegiant Air,,KCLE
Allegiant Air,,KLCK
Allegiant Air,,KDAY
Allegiant Air,,KDEN
Allegiant Air,,KDSM
Allegiant Air,,KELP
Allegiant Air,,KELM
Allegiant Air,,KEUG
Allegiant Air,,KEVV
Allegiant Air,,KFAR
Allegiant Air,,KXNA
Allegiant Air,,KFNT
Allegiant Air,,KFLL
Allegiant Air,,KVPS
Allegiant Air,,KFWA
Allegiant Air,,KFAT
Allegiant Air,,KGFK
Allegiant Air,,KGRI
Allegiant Air,,KGJT
Allegiant Air,,KGRR
Allegiant Air,,KGTF
Allegiant Air,,KGSO
Allegiant Air,,KGSP
Allegiant Air,,KGPT
Allegiant Air,,KHGR
Allegiant Air,,KMDT
Allegiant Air,,KHOU
Allegiant Air,,KHTS
Allegiant Air,,KIDA
Allegiant Air,,KIND
Allegiant Air,,KJAX
Allegiant Air,,KGPI
Allegiant Air,,KMCI
Allegiant Air,,KTYS
Allegiant Air,,KLRD
Allegiant Air,,KLAS
Allegiant Air,,KLEX
Allegiant Air,,KLIT
Allegiant Air,,KLAX
Allegiant Air,,KSDF
Allegiant Air,,KMFE
Allegiant Air,,KMFR
Allegiant Air,,KMEM
Allegiant Air,,KMOT
Allegiant Air,,KMSO
Allegiant Air,,KMLI
Allegiant Air,,KMRY
Allegiant Air,,KMTJ
Allegiant Air,,KMYR
Allegiant Air,,KBNA
Allegiant Air,,KMSY
Allegiant Air,,KEWR
Allegiant Air,,KSWF
Allegiant Air,,KIAG
Allegiant Air,,KORF
Allegiant Air,,KOAK
Allegiant Air,,KOGD
Allegiant Air,,KOGS
Allegiant Air,,KOKC
Allegiant Air,,KOMA
Allegiant Air,,KSFB
Allegiant Air,,KOWB
Allegiant Air,,KPSP
Allegiant Air,,KPSC
Allegiant Air,,KPIA
Allegiant Air,,KIWA
Allegiant Air,,KPIE
Allegiant Air,,KPIT
Allegiant Air,,KPBG
Allegiant Air,,KPSM
Allegiant Air,,KPVD
Allegiant Air,,KPVU
Allegiant Air,,KPGD
Allegiant Air,,KRDU
Allegiant Air,,KRAP
Allegiant Air,,KRDM
Allegiant Air,,KRNO
Allegiant Air,,KRIC
Allegiant Air,,KROA
Allegiant Air,,KROC
Allegiant Air,,KSTC
Allegiant Air,,KSGU
Allegiant Air,,KSAT
Allegiant Air,,KSAN
Allegiant Air,,TJSJ
Allegiant Air,,KSMX
Allegiant Air,,KSRQ
Allegiant Air,,KSAV
Allegiant Air,,KSHV
Allegiant Air,,KFSD
Allegiant Air,,KSBN
Allegiant Air,,KSPI
Allegiant Air,,KSGF
Allegiant Air,,KUNV
Allegiant Air,,KSCK
Allegiant Air,,KSYR
Allegiant Air,,KTOL
Allegiant Air,,KTVC
Allegiant Air,,KTUS
Allegiant Air,,KTUL
Allegiant Air,,KPBI
Allegiant Air,,KICT
