Airline,Notes,icao
Delta Air Lines,,LEMD
Delta Air Lines,,KCAK
Delta Air Lines,,KALB
Delta Air Lines,,KABQ
Delta Air Lines,,EHAM
Delta Air Lines,,KATW
Delta Air Lines,,KAVL
Delta Air Lines,,LGAV
Delta Air Lines,,KAGS
Delta Air Lines,,MNMG
Delta Air Lines,,KAUS
Delta Air Lines,,KBWI
Delta Air Lines,,LEBL
Delta Air Lines,,KBTR
Delta Air Lines,,ZBAD
Delta Air Lines,,LLBG
Delta Air Lines,,EDDT
Delta Air Lines,,KBIL
Delta Air Lines,,KBHM
Delta Air Lines,,KFNT
Delta Air Lines,,KBIS
Delta Air Lines,,GOBD
Delta Air Lines,,KLEX
Delta Air Lines,,KBOI
Delta Air Lines,,KBDL
Delta Air Lines,,EBBR
Delta Air Lines,,KBUF
Delta Air Lines,,KBTV
Delta Air Lines,,CYYC
Delta Air Lines,,MMUN
Delta Air Lines,,LFPG
Delta Air Lines,,KCLT
Delta Air Lines,,KCHO
Delta Air Lines,,KCHA
Delta Air Lines,,KTVC
Delta Air Lines,,VABB
Delta Air Lines,,KMDW
Delta Air Lines,,KCHS
Delta Air Lines,,RJGG
Delta Air Lines,,MDST
Delta Air Lines,,KCVG
Delta Air Lines,,KCLE
Delta Air Lines,,KCOS
Delta Air Lines,,KCAE
Delta Air Lines,,SCEL
Delta Air Lines,,EKCH
Delta Air Lines,,MMCZ
Delta Air Lines,,TIST
Delta Air Lines,,KDAL
Delta Air Lines,,KDFW
Delta Air Lines,,KMQI
Delta Air Lines,,PHNL
Delta Air Lines,,MRLB
Delta Air Lines,,KDAY
Delta Air Lines,,KDAB
Delta Air Lines,,KDEN
Delta Air Lines,,KDSM
Delta Air Lines,,KDTW
Delta Air Lines,,EIDW
Delta Air Lines,,EDDL
Delta Air Lines,,KEUG
Delta Air Lines,,EGPH
Delta Air Lines,,CYEG
Delta Air Lines,,SKBO
Delta Air Lines,,KELP
Delta Air Lines,,KOMA
Delta Air Lines,,MYEF
Delta Air Lines,,PAFA
Delta Air Lines,,KFAY
Delta Air Lines,,TNCB
Delta Air Lines,,KFLL
Delta Air Lines,,LL40
Delta Air Lines,,KGNV
Delta Air Lines,,KBZN
Delta Air Lines,,EGKK
Delta Air Lines,,MMMY
Delta Air Lines,Seasonal,MMMZ
Delta Air Lines,,KIAH
Delta Air Lines,,KGRR
Delta Air Lines,Seasonal,KGPI
Delta Air Lines,,EGPF
Delta Air Lines,,KROC
Delta Air Lines,,KGRB
Delta Air Lines,,KGSP
Delta Air Lines,,MMGL
Delta Air Lines,,KGPT
Delta Air Lines,,EDDH
Delta Air Lines,,RJTT
Delta Air Lines,,KMDT
Delta Air Lines,,KATL
Delta Air Lines,,EGLL
Delta Air Lines,,KFAR
Delta Air Lines,,TISX
Delta Air Lines,,TLPL
Delta Air Lines,,KBUR
Delta Air Lines,,KHSV
Delta Air Lines,,RKSI
Delta Air Lines,,KIND
Delta Air Lines,,MMZH
Delta Air Lines,Seasonal,KJAC
Delta Air Lines,,KJAN
Delta Air Lines,,KJAX
Delta Air Lines,,KJFK
Delta Air Lines,,KCMH
Delta Air Lines,,KSNA
Delta Air Lines,,SPIM
Delta Air Lines,,MUHA
Delta Air Lines,,MHRO
Delta Air Lines,,MROC
Delta Air Lines,Seasonal,PAJN
Delta Air Lines,,PHOG
Delta Air Lines,,RJBB
Delta Air Lines,,KMCI
Delta Air Lines,,BIKF
Delta Air Lines,,KEYW
Delta Air Lines,,PHKO
Delta Air Lines,,DGAA
Delta Air Lines,,TXKF
Delta Air Lines,,MGGT
Delta Air Lines,,KLGA
Delta Air Lines,,MDSD
Delta Air Lines,,KABE
Delta Air Lines,,LIRF
Delta Air Lines,,MMPR
Delta Air Lines,,PHLI
Delta Air Lines,,LPPT
Delta Air Lines,,KLIT
Delta Air Lines,,KBOS
Delta Air Lines,,KLGB
Delta Air Lines,,KLAX
Delta Air Lines,,MMSD
Delta Air Lines,,KMSY
Delta Air Lines,,KSDF
Delta Air Lines,,TJSJ
Delta Air Lines,Seasonal,MYNN
Delta Air Lines,,EGCC
Delta Air Lines,,KMHT
Delta Air Lines,,SEQU
Delta Air Lines,,TGPY
Delta Air Lines,,KLAS
Delta Air Lines,,KTYS
Delta Air Lines,,KMLB
Delta Air Lines,,KMEM
Delta Air Lines,,MMMX
Delta Air Lines,,KMIA
Delta Air Lines,,LIMC
Delta Air Lines,,KMKE
Delta Air Lines,,SAEZ
Delta Air Lines,,KMSP
Delta Air Lines,,KMSO
Delta Air Lines,,KMOB
Delta Air Lines,,MSLP
Delta Air Lines,,CYUL
Delta Air Lines,Seasonal,KMTJ
Delta Air Lines,,EDDM
Delta Air Lines,,DNMM
Delta Air Lines,,KMYR
Delta Air Lines,,KBNA
Delta Air Lines,,KEWR
Delta Air Lines,,KPHF
Delta Air Lines,,LFMN
Delta Air Lines,,RPLL
Delta Air Lines,,KORF
Delta Air Lines,,MKJP
Delta Air Lines,,KECP
Delta Air Lines,,KSGJ
Delta Air Lines,,FAOR
Delta Air Lines,,KORD
Delta Air Lines,,KOAK
Delta Air Lines,,KONT
Delta Air Lines,,KMCO
Delta Air Lines,,KPBI
Delta Air Lines,Seasonal,KPSP
Delta Air Lines,,KPNS
Delta Air Lines,,KPHL
Delta Air Lines,,MZBZ
Delta Air Lines,,KPHX
Delta Air Lines,,KGSO
Delta Air Lines,,KPIT
Delta Air Lines,,KPDX
Delta Air Lines,,KPWM
Delta Air Lines,,TNCM
Delta Air Lines,,MBPV
Delta Air Lines,,MDPC
Delta Air Lines,,TNCA
Delta Air Lines,,SKCG
Delta Air Lines,,KRDU
Delta Air Lines,,MHLM
Delta Air Lines,,KRNO
Delta Air Lines,,KRIC
Delta Air Lines,,SBGL
Delta Air Lines,,KROA
Delta Air Lines,Seasonal,TKPK
Delta Air Lines,Seasonal,PTRO
Delta Air Lines,,KDCA
Delta Air Lines,,KSMF
Delta Air Lines,,KSLC
Delta Air Lines,,KSAT
Delta Air Lines,,KSAN
Delta Air Lines,,KSFO
Delta Air Lines,,KSJC
Delta Air Lines,,MKJS
Delta Air Lines,,SBGR
Delta Air Lines,,KSRQ
Delta Air Lines,,CYXE
Delta Air Lines,,KSAV
Delta Air Lines,,KSEA
Delta Air Lines,,ZSPD
Delta Air Lines,,KEZF
Delta Air Lines,,KFSD
Delta Air Lines,,KRSW
Delta Air Lines,,KGEG
Delta Air Lines,,KSGF
Delta Air Lines,,KSTL
Delta Air Lines,,EDDS
Delta Air Lines,,YSSY
Delta Air Lines,,KSYR
Delta Air Lines,,KPVD
Delta Air Lines,,KTLH
Delta Air Lines,,KTPA
Delta Air Lines,,PANC
Delta Air Lines,,KCID
Delta Air Lines,,MPTO
Delta Air Lines,,MHTG
Delta Air Lines,,CYYZ
Delta Air Lines,,KTRI
Delta Air Lines,,KTUS
Delta Air Lines,,KTUL
Delta Air Lines,,TAPA
Delta Air Lines,,LKPR
Delta Air Lines,,KHRL
Delta Air Lines,,CYVR
Delta Air Lines,,LIPZ
Delta Air Lines,,KIAD
Delta Air Lines,,KHPN
Delta Air Lines,,KICT
Delta Air Lines,,KAVP
Delta Air Lines,,KOKC
Delta Air Lines,,KHOU
Delta Air Lines,,KILM
Delta Air Lines,,CYWG
Delta Air Lines,,KHDN
Delta Air Lines,,KCRW
Delta Air Lines,,LSZH
