Airline,Notes,icao
Hawaiian Airlines,,NSTU
Hawaiian Airlines,,YBBN
Hawaiian Airlines,,YSSY
Hawaiian Airlines,,NTAA
Hawaiian Airlines,,RJFF
Hawaiian Airlines,,RJBB
Hawaiian Airlines,,RJCC
Hawaiian Airlines,,RJTT
Hawaiian Airlines,,RJAA
Hawaiian Airlines,,NZAA
Hawaiian Airlines,,RKSI
Hawaiian Airlines,,KBOS
Hawaiian Airlines,,PHTO
Hawaiian Airlines,,PHNL
Hawaiian Airlines,,PHMK
Hawaiian Airlines,,PHOG
Hawaiian Airlines,,PHJH
Hawaiian Airlines,,PHKO
Hawaiian Airlines,,PHNY
Hawaiian Airlines,,KLAS
Hawaiian Airlines,,PHLI
Hawaiian Airlines,,KLGB
Hawaiian Airlines,,KLAX
Hawaiian Airlines,,KJFK
Hawaiian Airlines,,KOAK
Hawaiian Airlines,,KPHX
Hawaiian Airlines,,KPDX
Hawaiian Airlines,,KSMF
Hawaiian Airlines,,KSAN
Hawaiian Airlines,,KSJC
Hawaiian Airlines,,KSEA
