Airline,Notes,icao
JetBlue Airways,,TAPA
JetBlue Airways,,TNCA
JetBlue Airways,,MYNN
JetBlue Airways,,TBPB
JetBlue Airways,,TXKF
JetBlue Airways,,MWCR
JetBlue Airways,,SKBO
JetBlue Airways,,SKRG
JetBlue Airways,,TJBQ
JetBlue Airways,,MRLB
JetBlue Airways,,MROC
JetBlue Airways,,MUHA
JetBlue Airways,,TNCC
JetBlue Airways,,MDSD
JetBlue Airways,,MDPC
JetBlue Airways,,MDPP
JetBlue Airways,,MDST
JetBlue Airways,,SEGU
JetBlue Airways,,SEQM
JetBlue Airways,,SEQU
JetBlue Airways,,TFFR
JetBlue Airways,,KFNT
JetBlue Airways,,SYCJ
JetBlue Airways,,MGGT
JetBlue Airways,,MTPP
JetBlue Airways,,MKJP
JetBlue Airways,,MKJS
JetBlue Airways,,MMUN
JetBlue Airways,,SPIM
JetBlue Airways,,TJBQ
JetBlue Airways,,TJPS
JetBlue Airways,,TJSJ
JetBlue Airways,,TLPL
JetBlue Airways,,TNCM
JetBlue Airways,,TTPP
JetBlue Airways,,MBPV
JetBlue Airways,,KPHX
JetBlue Airways,,KBUR
JetBlue Airways,,KLGB
JetBlue Airways,,KLAX
JetBlue Airways,,KOAK
JetBlue Airways,,KONT
JetBlue Airways,Seasonal,KPSP
JetBlue Airways,,KSMF
JetBlue Airways,,KSAN
JetBlue Airways,,KSFO
JetBlue Airways,,KSJC
JetBlue Airways,,KDEN
JetBlue Airways,Seasonal,KHDN
JetBlue Airways,,KBDL
JetBlue Airways,,KDCA
JetBlue Airways,,KFLL
JetBlue Airways,,KRSW
JetBlue Airways,,KJAX
JetBlue Airways,,KMCO
JetBlue Airways,,KSRQ
JetBlue Airways,,KTPA
JetBlue Airways,,KPBI
JetBlue Airways,,KATL
JetBlue Airways,,KSAV
JetBlue Airways,,KLHR
JetBlue Airways,,KMSY
JetBlue Airways,,KPWM
JetBlue Airways,,KBWI
JetBlue Airways,,KBOS
JetBlue Airways,Seasonal,KHYA
JetBlue Airways,Seasonal,KMVY
JetBlue Airways,Seasonal,KACK
JetBlue Airways,,KORH
JetBlue Airways,,KDTW
JetBlue Airways,,KMSP
JetBlue Airways,Seasonal,KBZN
JetBlue Airways,,KLAS
JetBlue Airways,,KRNO
JetBlue Airways,,KEWR
JetBlue Airways,,KABQ
JetBlue Airways,,KALB
JetBlue Airways,,KBUF
JetBlue Airways,,KJFK
JetBlue Airways,,KLGA
JetBlue Airways,,KSWF
JetBlue Airways,,KROC
JetBlue Airways,,KSYR
JetBlue Airways,,KHPN
JetBlue Airways,,KCLT
JetBlue Airways,,KRDU
JetBlue Airways,,KCLE
JetBlue Airways,,KPDX
JetBlue Airways,,KPHL
JetBlue Airways,,KPIT
JetBlue Airways,,KPVD
JetBlue Airways,,KCHS
JetBlue Airways,,KBNA
JetBlue Airways,,KAUS
JetBlue Airways,,KDFW
JetBlue Airways,,KIAH
JetBlue Airways,,KSLC
JetBlue Airways,,KBTV
JetBlue Airways,,KRIC
JetBlue Airways,,KSEA
JetBlue Airways,,TIST
