Airline,Notes,icao
Southwest Airlines,,KALB
Southwest Airlines,,KABQ
Southwest Airlines,,KAUS
Southwest Airlines,,KBWI
Southwest Airlines,,KBHM
Southwest Airlines,,KBOI
Southwest Airlines,,KBDL
Southwest Airlines,,KBUF
Southwest Airlines,,MMUN
Southwest Airlines,,KCHS
Southwest Airlines,,KCLT
Southwest Airlines,,KMDW
Southwest Airlines,,KCVG
Southwest Airlines,,KCLE
Southwest Airlines,,KCRP
Southwest Airlines,,MMCZ
Southwest Airlines,,KDAL
Southwest Airlines,,PHNL
Southwest Airlines,,MRLB
Southwest Airlines,,KDEN
Southwest Airlines,,KDSM
Southwest Airlines,,KDTW
Southwest Airlines,,KELP
Southwest Airlines,,KOMA
Southwest Airlines,,KFLL
Southwest Airlines,,KGRR
Southwest Airlines,,KROC
Southwest Airlines,,KGSP
Southwest Airlines,,KATL
Southwest Airlines,,PHTO
Southwest Airlines,,KBUR
Southwest Airlines,,KIND
Southwest Airlines,,KJAX
Southwest Airlines,,KCMH
Southwest Airlines,,KSNA
Southwest Airlines,,MUHA
Southwest Airlines,,MROC
Southwest Airlines,,PHOG
Southwest Airlines,,KMCI
Southwest Airlines,,PHKO
Southwest Airlines,,KLGA
Southwest Airlines,,MMPR
Southwest Airlines,,PHLI
Southwest Airlines,,KLIT
Southwest Airlines,,KBOS
Southwest Airlines,,KLGB
Southwest Airlines,,KISP
Southwest Airlines,,KLAX
Southwest Airlines,,MMSD
Southwest Airlines,,KMSY
Southwest Airlines,,KSDF
Southwest Airlines,,KLBB
Southwest Airlines,,TJSJ
Southwest Airlines,,MYNN
Southwest Airlines,,KMHT
Southwest Airlines,,KLAS
Southwest Airlines,,KMEM
Southwest Airlines,,KMAF
Southwest Airlines,,KMKE
Southwest Airlines,,KMSP
Southwest Airlines,,KBNA
Southwest Airlines,,KORF
Southwest Airlines,,KECP
Southwest Airlines,,KOAK
Southwest Airlines,,KONT
Southwest Airlines,,KMCO
Southwest Airlines,,MWCR
Southwest Airlines,,KPBI
Southwest Airlines,,KPNS
Southwest Airlines,,KPHL
Southwest Airlines,,MZBZ
Southwest Airlines,,KPHX
Southwest Airlines,,KPIT
Southwest Airlines,,KPDX
Southwest Airlines,,KPWM
Southwest Airlines,,MBPV
Southwest Airlines,,MDPC
Southwest Airlines,,TNCA
Southwest Airlines,,KRDU
Southwest Airlines,,KRNO
Southwest Airlines,,KRIC
Southwest Airlines,,KAMA
Southwest Airlines,,KDCA
Southwest Airlines,,KSMF
Southwest Airlines,,KSLC
Southwest Airlines,,KSAT
Southwest Airlines,,KSAN
Southwest Airlines,,KSFO
Southwest Airlines,,KSJC
Southwest Airlines,,MKJS
Southwest Airlines,,KSEA
Southwest Airlines,,KRSW
Southwest Airlines,,KGEG
Southwest Airlines,,KSTL
Southwest Airlines,,KPVD
Southwest Airlines,,KTPA
Southwest Airlines,,KTUS
Southwest Airlines,,KTUL
Southwest Airlines,,KHRL
Southwest Airlines,,KIAD
Southwest Airlines,,KICT
Southwest Airlines,,KOKC
Southwest Airlines,,KHOU
Southwest Airlines,,KHDN
