Airline,Notes,icao
United Airlines,,LEMD
United Airlines,,KALB
United Airlines,,KABQ
United Airlines,,EHAM
United Airlines,,PGUM
United Airlines,Seasonal,LGAV
United Airlines,,NZAA
United Airlines,,MNMG
United Airlines,,KAUS
United Airlines,,KBWI
United Airlines,,LEBL
United Airlines,,ZBAA
United Airlines,,LLBG
United Airlines,,EDDT
United Airlines,,KBIL
United Airlines,,KBIS
United Airlines,,KBUR
United Airlines,,KBOI
United Airlines,,KBDL
United Airlines,,EBBR
United Airlines,,PKWA
United Airlines,,KBUF
United Airlines,,KBTV
United Airlines,,CYYC
United Airlines,,MMUN
United Airlines,Seasonal,FACT
United Airlines,,LFPG
United Airlines,,KCHS
United Airlines,,KCLT
United Airlines,,ZUUU
United Airlines,Seasonal,KTVC
United Airlines,,VABB
United Airlines,,KORD
United Airlines,,RJGG
United Airlines,,PTKK
United Airlines,,MDST
United Airlines,,KCVG
United Airlines,,KCLE
United Airlines,,KCOS
United Airlines,,SCEL
United Airlines,,MMCZ
United Airlines,Seasonal,TNCC
United Airlines,Seasonal,TIST
United Airlines,,KDFW
United Airlines,,KMSN
United Airlines,,PHNL
United Airlines,,MRLB
United Airlines,,MMLO
United Airlines,,KDEN
United Airlines,,KDSM
United Airlines,,KDTW
United Airlines,,EIDW
United Airlines,Seasonal,KEGE
United Airlines,,EGPH
United Airlines,,CYEG
United Airlines,,SKBO
United Airlines,Seasonal,KOMA
United Airlines,,KEUG
United Airlines,,NTAA
United Airlines,Seasonal,PAFA
United Airlines,Seasonal,LICJ
United Airlines,,TNCB
United Airlines,,KFLL
United Airlines,Seasonal,LPPR
United Airlines,,EDDF
United Airlines,,KFAT
United Airlines,,RJFF
United Airlines,,KBZN
United Airlines,,LSGG
United Airlines,,KIAH
United Airlines,,KGRR
United Airlines,,KGPI
United Airlines,Seasonal,EGPF
United Airlines,,KROC
United Airlines,,MDPP
United Airlines,,RJTT
United Airlines,,KMDT
United Airlines,,KATL
United Airlines,,TLPL
United Airlines,,PHTO
United Airlines,,VHHH
United Airlines,,RKSI
United Airlines,,KIND
United Airlines,,VIDP
United Airlines,Seasonal,MMZH
United Airlines,Seasonal,KJAC
United Airlines,,KJAX
United Airlines,,KSNA
United Airlines,,SPIM
United Airlines,,MUHA
United Airlines,,MHRO
United Airlines,,MROC
United Airlines,,PHOG
United Airlines,,RJBB
United Airlines,,KMCI
United Airlines,Seasonal,BIKF
United Airlines,,PHKO
United Airlines,,PTSA
United Airlines,Seasonal,TXKF
United Airlines,,MGGT
United Airlines,,KLGA
United Airlines,,MDSD
United Airlines,,LIRF
United Airlines,,MMPR
United Airlines,,PHLI
United Airlines,,LPPT
United Airlines,,KBOS
United Airlines,,EGLL
United Airlines,,KLAX
United Airlines,,MMSD
United Airlines,,KMSY
United Airlines,,TJSJ
United Airlines,,MYNN
United Airlines,,EGCC
United Airlines,,MMMD
United Airlines,,SEQU
United Airlines,,PKMJ
United Airlines,,KMFE
United Airlines,,KLAS
United Airlines,,KTYS
United Airlines,,CNM2
United Airlines,,KMEM
United Airlines,,MMMX
United Airlines,,KMIA
United Airlines,,KMAF
United Airlines,,MMGL
United Airlines,,LIMC
United Airlines,,KMKE
United Airlines,,SAEZ
United Airlines,,KMSP
United Airlines,,KMSO
United Airlines,,MSLP
United Airlines,Seasonal,KMTJ
United Airlines,,EDDM
United Airlines,Seasonal,KMYR
United Airlines,Seasonal,LIRN
United Airlines,,RJAA
United Airlines,,KBNA
United Airlines,,KEWR
United Airlines,,LFMN
United Airlines,,RPLL
United Airlines,,KORF
United Airlines,,KSJC
United Airlines,,KONT
United Airlines,,KMCO
United Airlines,,MWCR
United Airlines,,KPAE
United Airlines,,KPBI
United Airlines,,KPSP
United Airlines,Seasonal,KPNS
United Airlines,,KPHL
United Airlines,,MZBZ
United Airlines,,KPHX
United Airlines,,TTPP
United Airlines,,KGSO
United Airlines,,KPIT
United Airlines,,PTPN
United Airlines,,KCMH
United Airlines,,KPDX
United Airlines,Seasonal,KPWM
United Airlines,,TNCM
United Airlines,,MBPV
United Airlines,,MDPC
United Airlines,,TNCA
United Airlines,,TJBQ
United Airlines,,KRDU
United Airlines,,MHLM
United Airlines,,KRNO
United Airlines,,KRIC
United Airlines,,SBGL
United Airlines,Seasonal,TKPK
United Airlines,,KRDM
United Airlines,,KRST
United Airlines,,KMFR
United Airlines,,PTRO
United Airlines,,KDCA
United Airlines,,KSMF
United Airlines,,KSLC
United Airlines,,KSAT
United Airlines,,KSAN
United Airlines,,KSFO
United Airlines,,MKJS
United Airlines,,KSBA
United Airlines,,SBGR
United Airlines,,KSRQ
United Airlines,,KSAV
United Airlines,,KSEA
United Airlines,,ZSPD
United Airlines,Seasonal,EINN
United Airlines,,WSSS
United Airlines,,KFSD
United Airlines,,KRSW
United Airlines,,KGEG
United Airlines,,KSTL
United Airlines,Seasonal,ESSA
United Airlines,,YSSY
United Airlines,,KSYR
United Airlines,Seasonal,KPVD
United Airlines,,KTPA
United Airlines,,RCTP
United Airlines,,PANC
United Airlines,,KCID
United Airlines,,MPTO
United Airlines,,MHTG
United Airlines,,CYYZ
United Airlines,,KTUS
United Airlines,,KTUL
United Airlines,,TAPA
United Airlines,Seasonal,LKPR
United Airlines,,CYVR
United Airlines,Seasonal,LIPZ
United Airlines,,KIAD
United Airlines,,KICT
United Airlines,,KOKC
United Airlines,,KILM
United Airlines,,PTYA
United Airlines,,LSZH
