id,ICAO,type,name,Weight,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,Alaska Airlines,American Airlines,Allegiant Air,Frontier Airlines,JetBlue Airways,Delta Air Lines,United Airlines,SkyWest Airlines,Southwest Airlines,Hawaiian Airlines,airline_count
5388,PANC,large_airport,Ted Stevens Anchorage International Airport,Hub,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,Y,Y,Y,N,N,Y,Y,N,N,N,5
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,Hub,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,Y,Y,N,Y,Y,Y,Y,Y,Y,N,8
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,Hub,39.1754,-76.668297,146.0,,US,US-MD,Baltimore,Y,N,Y,Y,Y,Y,Y,N,Y,N,7
3416,KBLI,medium_airport,Bellingham International Airport,Focus,48.79280090332031,-122.53800201416016,170.0,,US,US-WA,Bellingham,Y,N,Y,N,N,N,N,N,N,N,2
3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,Hub,42.36429977,-71.00520325,20.0,,US,US-MA,Boston,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,9
3754,KORD,large_airport,Chicago O'Hare International Airport,Hub,41.9786,-87.9048,672.0,,US,US-IL,Chicago,Y,N,N,Y,N,Y,Y,Y,N,N,5
3488,KDFW,large_airport,Dallas Fort Worth International Airport,Hub,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,Y,N,N,Y,Y,Y,Y,Y,N,N,6
3479,KDAL,large_airport,Dallas Love Field,Hub,32.847099,-96.851799,487.0,,US,US-TX,Dallas,Y,N,N,N,N,Y,N,Y,Y,N,4
3486,KDEN,large_airport,Denver International Airport,Hub,39.861698150635,-104.672996521,5431.0,,US,US-CO,Denver,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,9
3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,Hub,42.212398529052734,-83.35340118408203,645.0,,US,US-MI,Detroit,Y,N,N,Y,Y,Y,Y,Y,Y,N,7
3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,Focus,26.072599,-80.152702,9.0,,US,US-FL,Fort Lauderdale,Y,Y,Y,Y,Y,Y,Y,N,Y,N,8
5453,PHNL,large_airport,Daniel K Inouye International Airport,Hub,21.32062,-157.924228,13.0,,US,US-HI,Honolulu,Y,Y,N,N,N,Y,Y,N,Y,Y,6
3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,Hub,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,Y,N,N,Y,Y,Y,Y,Y,N,N,6
3610,KIND,large_airport,Indianapolis International Airport,Focus,39.7173,-86.294403,797.0,,US,US-IN,Indianapolis,Y,Y,Y,Y,N,Y,Y,Y,Y,N,8
5455,PHOG,medium_airport,Kahului Airport,Hub,20.8986,-156.429993,54.0,,US,US-HI,Kahului,Y,Y,N,N,N,Y,Y,N,Y,Y,6
3631,KLAS,large_airport,McCarran International Airport,Hub,36.08010101,-115.15200039999999,2181.0,,US,US-NV,Las Vegas,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,10
3632,KLAX,large_airport,Los Angeles International Airport,Hub,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,9
3709,KMSP,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,Hub,44.882,-93.221802,841.0,,US,US-MN,Minneapolis,Y,N,N,Y,Y,Y,Y,Y,Y,N,7
3622,KJFK,large_airport,John F Kennedy International Airport,Hub,40.63980103,-73.77890015,13.0,,US,US-NY,New York,Y,N,N,N,Y,Y,N,Y,N,Y,5
3521,KEWR,large_airport,Newark Liberty International Airport,Hub,40.69250106811523,-74.168701171875,18.0,,US,US-NJ,Newark,Y,Y,Y,Y,Y,Y,Y,Y,N,N,8
3744,KOAK,large_airport,Metropolitan Oakland International Airport,Hub,37.721298,-122.221001,9.0,,US,US-CA,Oakland,Y,N,Y,N,Y,Y,N,Y,Y,Y,7
3670,KMCO,large_airport,Orlando International Airport,Hub,28.429399490356445,-81.30899810791016,96.0,,US,US-FL,Orlando,Y,Y,N,Y,Y,Y,Y,N,Y,N,7
3771,KPHL,large_airport,Philadelphia International Airport,Hub,39.87189865112305,-75.24109649658203,36.0,,US,US-PA,Philadelphia,Y,N,N,Y,Y,Y,Y,N,Y,N,6
